consent	1.1_grad_area	1.2_masters_area	1.3_masters_sub_area	1.4_doc_year	1.5_research_subarea	1.6_state_doc	1.7_has_posdoc	1.8_worked_unpaid	1.9_worked_paid	1.10_international_scholarship	1.11_years_international	1.12_SQB_affiliate	1.13_residency	1.14_work_sector	2.1_posdoc_experience	2.2_chage_institution_posdoc	2.3_international_motivation	2.4_institution_posdoc	2.5_posdoc_financing	2.6_posgrad_supervision	2.7_supervision_total	2.8_teaching_exp	2.9_posdoc_satisfaction	2.10_rights_duties_postdocs	3.1_months_worked_postdoc	3.2_institutions_postdoc	3.3_funding_postdoc	3.4_infrastructure_research	3.5_mentoring_experience	3.6_total_supervised	3.7_projects_coordination	3.8_funding_sources_projects	3.9_extension_projects: Number of extension projects coordinated	4.1_current_professor	4.2_current_position	4.3_start_teaching_experience	4.4_support_during_postgrad	4.5_total_months_postdoc	4.6_institutions_postgrad	4.7_funding_postgrad_postdoc	4.8_infrastructure_workplace	4.9_opportunity_research_extension	4.10_bolsist_students	4.11_total_supervised_students	5.1_publications_peer_reviewed	5.2_publications_last_5_years	5.3_publications_first_author	5.4_publications_corresponding_author	5.5_international_collaborations	5.6_patents_deposited	5.7_H_index_scopus	5.8_ethical_standards_workplace	5.9_witnessed_ethical_misconduct	5.10_disagreement_authorship_order	5.11_communication_channels	5.12_long_term_career_plans	5.13_satisfaction_career_plan	5.14_job_search_status	5.15_main_skills_develop	5.16_skills_developed_during_studies	6.1_age_range	6.2_language_proficiency	6.3_marital_status_co-habitation	6.4_children_status	6.5_state_born	6.6_gender_identity	6.7_self_classification	7.1_survey_result_newsletter
Li e concordo em participar da pesquisa	Química	Química Inorgânica	Ciências - Química	2022	Catálise	Minas Gerais (MG)	Sim, um pós-doutorado	Sim, até 6 meses	Não	Sim, no doutorado	De 12 a 18 meses	Sim, sou associado	Minas Gerais (MG)	Pós-doutorando (Setor Público)	0-12 meses	Não, realizo meu pós-doutorado na mesma instituição onde me titulei como doutor	Não se aplica	Universidade federal	CAPES	"Sim, alunos de iniciação científica;Sim, mestrandos;Sim, doutorandos"	3	Sim, como responsável de disciplina	Parcialmente Satisfeito	"Recolhimento de impostos (Ex. imposto de renda);Jornada de trabalho monitorada (40-44 horas semanais);Seguro saúde;Seguro de vida;Afastamento remunerado por doença;Previdência social;Auxílio-transporte;Auxílio-alimentação"																					20-24	15-19	9/mai	4/jan	9/mai	2/jan	11/ago	Sim	Não	Não, concordo com a ordem de autoria de todas as minhas publicações	"Telefone;E-mail;Webpage"	No setor público, como professor de Ensino Superior e Pesquisador	Parcialmente insatisfeito	Sim, em ambos (academia e fora dela)	"Gerenciamento de projetos;Ensino/Lecionar;Liderança e gerenciamento laboratorial;Gerenciamento de carreira;Comunicação e divulgação científica"	"Escrita de artigos científicos;Escrita de projetos;Colaboração e trabalho de equipe;Conduta ética na pesquisa;Rede de contatos;Produtividade pessoal;Transferência de conhecimento, inovação e empreendedorismo"	31-32	"Português;Inglês;Espanhol;Alemão"	Coabito(a)	Não	São Paulo (SP)	Homem cisgênero	Branco(a)	Sim
Li e concordo em participar da pesquisa	Química	Química Inorgânica	Ciências - Química	2022	"Catálise;Química Inorgânica;Química Orgânica"	Minas Gerais (MG)	Sim, um pós-doutorado	Sim, até 6 meses	Não	Sim, no doutorado	Acima de 24 meses	Sim, sou associado	Minas Gerais (MG)	Pós-doutorando (Setor Público)	12-24 meses	Não, realizo meu pós-doutorado na mesma instituição onde me titulei como doutor	Não se aplica	Universidade federal	"CAPES;CNPq"	Sim, alunos de iniciação científica	4	Sim, como responsável de disciplina	Parcialmente Satisfeito	"Recolhimento de impostos (Ex. imposto de renda);Seguro saúde;Seguro de vida;Afastamento remunerado por doença;Previdência social;Auxílio-transporte;Auxílio-alimentação"																					20-24	15-19	9/mai	4/jan	14/out	2/jan	11/ago	Sim	Não	Não, concordo com a ordem de autoria de todas as minhas publicações	"Presencial;E-mail;WhatsApp;Instagram;Webpage"	No setor público, como professor de Ensino Superior e Pesquisador	Parcialmente satisfeito	Sim, em ambos (academia e fora dela)	"Gerenciamento de projetos;Equidade e diversidade;Gerenciamento de carreira;Transferência de conhecimento, inovação e empreendedorismo;Comunicação e divulgação científica"	"Escrita de artigos científicos;Escrita de projetos;Ensino/Lecionar;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Produtividade pessoal;Transferência de conhecimento, inovação e empreendedorismo"	31-32	"Português;Inglês;Espanhol;Alemão"	Casado(a)	Não	São Paulo (SP)	Homem cisgênero	Branco(a)	Sim
Li e concordo em participar da pesquisa	Farmácia, Farmácia-Bioquímica	Fiz doutorado direto	Ciências - Química	2022	Produtos Naturais	São Paulo (SP)	Sim, um pós-doutorado	Sim, de 6 a 12 meses	Sim, sem carteira assinada	Sim, no doutorado	De 18 a 24 meses	Não	Bahia (BA)	Pós-doutorando (Setor Público)	0-12 meses	Sim, mudei de instituição e de estado onde me titulei como doutor	Não se aplica	Universidade estadual	CAPES	"Sim, alunos de iniciação científica;Sim, mestrandos"	3	Sim, em outra função	Parcialmente insatisfeito	Prefiro não responder																					9/mai	9/mai	4/jan	4/jan	4/jan	Nenhuma	0-3	Não	Não	Não, concordo com a ordem de autoria de todas as minhas publicações	Presencial	"No setor público, como professor de Ensino Superior e Pesquisador;No setor público, como Pesquisador"	Sem plano de carreira	Sim, em ambos (academia e fora dela)	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Orientação de alunos/pós-graduandos;Liderança e gerenciamento laboratorial;Transferência de conhecimento, inovação e empreendedorismo;Comunicação e divulgação científica"	"Escrita de artigos científicos;Escrita de projetos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Conduta ética na pesquisa;Rede de contatos"	31-32	"Português;Inglês;Francês"	Coabito(a)	Não	Amazonas (AM)	Homem cisgênero	Pardo(a)	Sim
Li e concordo em participar da pesquisa	Química	Química Orgânica	Outros	2022	Produtos Naturais	Roraima (RR)	Nenhum	Sim, até 6 meses	Não	Não	Nenhum	Já fui associado (estou inativo)	Roraima (RR)	Professor de Ensino Básico e/ou Técnico/Tecnológico (setor Público)																				Escola (Ensino Fundamental e/ou Médio) pública	Professor concursado	Durante a pós-graduação	Não pude contar com nenhum tipo de licença	Não fiz pós-doutorado	Universidade federal	Sem remuneração	Completamente insatisfeito	Sim	Não	Nenhum	14/out	9/mai	9/mai	Nenhuma	Nenhuma	Nenhuma	0-3	Não se aplica	Não	Não, concordo com a ordem de autoria de todas as minhas publicações	Não se aplica	No setor público, como professor de Ensino Superior	Satisfeito	Sim, na academia	"Escrita de artigos científicos;Escrita de projetos;Pesquisa interdisciplinar;Liderança e gerenciamento laboratorial;Comunicação e divulgação científica"	"Escrita de artigos científicos;Escrita de projetos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Liderança e gerenciamento laboratorial;Conduta ética na pesquisa;Produtividade pessoal"	31-32	"Português;Inglês;Espanhol"	Casado(a)	Sim, um filho	Roraima (RR)	Mulher cisgênera	Preto(a)	Sim
Li e concordo em participar da pesquisa	Química	Química Analítica	Química Analítica	2022	"Alimentos e Bebidas;Produtos Naturais;Química Analítica"	Rio Grande do Sul (RS)	Sim, dois pós doutorados	Sim, acima de 12 meses	Não	Não	Nenhum	Não	Sergipe (SE)	Pós-doutorando (Setor Público)	0-12 meses	Sim, mudei de instituição e de estado onde me titulei como doutor	Não se aplica	"Universidade federal;Universidade/Faculdade privada;Outros institutos de pesquisa (públicos);Empresas privadas"	"CNPq;Parcerias com o setor privado"	"Sim, alunos de iniciação científica;Sim, mestrandos;Sim, doutorandos"	4	Sim, em outra função	Insatisfeito	"Jornada de trabalho monitorada (40-44 horas semanais);Seguro saúde;Seguro de vida;Afastamento remunerado por doença;Previdência social;Auxílio-transporte;Auxílio-alimentação;Outros"																					14/out	9/mai	4/jan	Nenhuma	Nenhuma	2/jan	7/abr	Não	Sim	Sim, em algumas das minhas publicações	"Presencial;Telefone;E-mail"	"No setor privado, como pesquisador;No setor público, como professor de Ensino Superior e Pesquisador;No setor público, como Pesquisador"	Parcialmente insatisfeito	Sim, tanto dentro quanto fora da academia, no Brasil ou no exterior.	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Liderança e gerenciamento laboratorial;Conduta ética na pesquisa;Equidade e diversidade;Gerenciamento de carreira;Rede de contatos;Produtividade pessoal;Transferência de conhecimento, inovação e empreendedorismo;Comunicação e divulgação científica;Outros"	"Escrita de artigos científicos;Orientação de alunos/pós-graduandos"	29-30	"Português;Inglês"	Solteiro(a)	Não	Rio Grande do Sul (RS)	Homem cisgênero	Branco(a)	Sim
Li e concordo em participar da pesquisa	Química	Química Orgânica	Química Orgânica	2021	"Catálise;Fotoquímica;Química Orgânica"	Rio Grande do Sul (RS)	Sim, um pós-doutorado	Sim, até 6 meses	Não	Não	Nenhum	Não	Rio de Janeiro (RJ)	Pós-doutorando (Setor Público)	12-24 meses	Sim, mudei de instituição e de estado onde me titulei como doutor	Não se aplica	Universidade federal	"CNPq;Fundações de amparo à pesquisa dos estados (FAPs)"	Sim, alunos de iniciação científica	1	Sim, como assistente/monitor de disciplina (estágio docência)	Parcialmente Satisfeito	"Seguro saúde;Previdência social"																					25-29	15-19	9/mai	Nenhuma	4/jan	2/jan	Prefiro não responder	Sim	Sim	Sim, em algumas das minhas publicações	"E-mail;Instagram;Webpage"	"No setor privado, como professor de Ensino Superior e Pesquisador;No setor privado, como pesquisador;Empreendedor"	Parcialmente insatisfeito	Sim, em ambos (academia e fora dela)	"Gerenciamento de projetos;Orientação de alunos/pós-graduandos;Liderança e gerenciamento laboratorial;Transferência de conhecimento, inovação e empreendedorismo;Comunicação e divulgação científica"	"Escrita de artigos científicos;Escrita de projetos;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Liderança e gerenciamento laboratorial;Conduta ética na pesquisa;Rede de contatos;Produtividade pessoal"	31-32	"Português;Inglês;Espanhol"	Solteiro(a)	Não	Rio Grande do Sul (RS)	Homem cisgênero	Branco(a)	Sim
Li e concordo em participar da pesquisa	Química	Química Orgânica	Química Orgânica	2020	Química Orgânica	Rio Grande do Sul (RS)	Sim, dois pós doutorados	Não	Sim, sem carteira assinada	Não	Nenhum	Não	Rio de Janeiro (RJ)	Pós-doutorando (Setor Público)	36-48 meses	Sim, mudei de instituição e de estado onde me titulei como doutor	Não se aplica	Universidade federal	"Fundações públicas universitárias;Fundações de amparo à pesquisa dos estados (FAPs)"	Sim, alunos de iniciação científica	1	Sim, como assistente/monitor de disciplina (estágio docência)	Parcialmente Satisfeito	"Seguro saúde;Seguro de vida;Afastamento remunerado por doença;Previdência social;Auxílio-transporte;Auxílio-alimentação"																					14/out	9/mai	4/jan	Nenhuma	4/jan	2/jan	7/abr	Sim	Sim	Sim, em algumas das minhas publicações	"E-mail;Instagram;Webpage;Twitter"	"No setor público, como professor de Ensino Superior e Pesquisador;No setor público, como Pesquisador"	Parcialmente satisfeito	Sim, na academia	"Ensino/Lecionar;Orientação de alunos/pós-graduandos;Pesquisa interdisciplinar"	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Colaboração e trabalho de equipe"	31-32	"Português;Inglês;Espanhol"	Solteiro(a)	Não	Rio Grande do Sul (RS)	Homem cisgênero	Branco(a)	Sim
Li e concordo em participar da pesquisa	Química	Química Analítica	Química Analítica	2020	Química Analítica	Rio Grande do Sul (RS)	Sim, um pós-doutorado	Não	Não	Sim, no doutorado	De 6 a 12 meses	Já fui associado (estou inativo)	Rio Grande do Sul (RS)	Professor Universitário (Setor Público)											12-24 meses	Universidade federal	CNPq	Insatisfeito	Sim, aluno de iniciação científica	3/jan	4/fev	"Fundações públicas universitárias;Fundações de amparo à pesquisa dos estados (FAPs)"	1												30-35	25-29	9/mai	Nenhuma	9/mai	Nenhuma	15/dez	Parcialmente	Sim	Sim, em algumas das minhas publicações	"Presencial;Telefone;E-mail;WhatsApp;Webpage"	"No setor público, como professor de Ensino Superior;No setor público, como professor de Ensino Superior e Pesquisador;No setor público, como Pesquisador"	Satisfeito	Não	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Ensino/Lecionar;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Liderança e gerenciamento laboratorial;Conduta ética na pesquisa;Equidade e diversidade;Gerenciamento de carreira;Rede de contatos;Produtividade pessoal;Transferência de conhecimento, inovação e empreendedorismo;Comunicação e divulgação científica;Outros"	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Ensino/Lecionar;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Liderança e gerenciamento laboratorial;Conduta ética na pesquisa;Equidade e diversidade;Gerenciamento de carreira;Rede de contatos;Produtividade pessoal;Transferência de conhecimento, inovação e empreendedorismo;Comunicação e divulgação científica;Outros"	31-32	"Português;Inglês;Espanhol"	Casado(a)	Não	Rio Grande do Sul (RS)	Homem cisgênero	Branco(a)	Sim
Li e concordo em participar da pesquisa	Química	Outros	Química Inorgânica	2021	"Química Inorgânica;Química Medicinal"	São Paulo (SP)	Nenhum	Não	Não	Não	Nenhum	Já fui associado (estou inativo)	Tocantins (TO)	Pós-doutorando (Setor Público)	0-12 meses	Sim, mudei de instituição e de estado onde me titulei como doutor	Não se aplica	Universidade federal	CAPES	Não	Nenhum	Sim, como responsável de disciplina	Completamente satisfeito	"Seguro saúde;Afastamento remunerado por doença;Previdência social"																					14/out	14/out	9/mai	Nenhuma	Nenhuma	Nenhuma	7/abr	Sim	Não	Não, concordo com a ordem de autoria de todas as minhas publicações	"Presencial;Telefone;E-mail;WhatsApp"	"No setor público, como professor de Ensino Superior;No setor público, como professor de Ensino Superior e Pesquisador"	Sem plano de carreira	Sim, em ambos (academia e fora dela)	"Escrita de artigos científicos;Escrita de projetos;Ensino/Lecionar;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Liderança e gerenciamento laboratorial;Conduta ética na pesquisa;Produtividade pessoal"	"Escrita de artigos científicos;Escrita de projetos;Ensino/Lecionar;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Liderança e gerenciamento laboratorial;Conduta ética na pesquisa;Produtividade pessoal"	29-30	Português	Casado(a)	Não	Goiás (GO)	Mulher cisgênera	Pardo(a)	Sim
Li e concordo em participar da pesquisa	Química	Química Orgânica	Ensino em Química	2023	Ensino/Educação em Química	São Paulo (SP)	Nenhum	Não	Sim, com carteira assinada	Prefiro não responder	Prefiro não responder	Não	Goiás (GO)	Professor de Ensino Básico e/ou Técnico/Tecnológico (setor Público)																				Escola (Ensino Fundamental e/ou Médio) pública	Professor concursado	Após a pós-graduação	Prefiro não responder	Não fiz pós-doutorado	Universidade estadual	"CAPES;CNPq"	Nem satisfeito, nem insatisfeito	Não	Não	Nenhum	4/jan	4/jan	4/jan	Nenhuma	Nenhuma	Nenhuma	0-3	Não se aplica	Sim	Não, concordo com a ordem de autoria de todas as minhas publicações	"Presencial;Telefone;E-mail;WhatsApp"	No setor público, como professor da rede de Ensino Fundamental e Médio	Completamente insatisfeito	Não	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Ensino/Lecionar;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Conduta ética na pesquisa;Equidade e diversidade;Produtividade pessoal;Comunicação e divulgação científica"	"Escrita de artigos científicos;Escrita de projetos;Colaboração e trabalho de equipe;Equidade e diversidade;Gerenciamento de carreira;Comunicação e divulgação científica"	31-32	"Português;Inglês"	Coabito(a)	Não	Rio Grande do Norte (RN)	Prefiro não responder	Branco(a)	Sim
Li e concordo em participar da pesquisa	Química	Físico-Química	Química Analítica	2020	Química de Materiais	Rio de Janeiro (RJ)	Sim, dois pós doutorados	Não	Não	Não	Nenhum	Já fui associado (estou inativo)	Rio de Janeiro (RJ)	Pós-doutorando (Setor Privado)	24-36 meses	Não, realizo meu pós-doutorado na mesma instituição onde me titulei como doutor	Não se aplica	Universidade/Faculdade privada	Fundações de amparo à pesquisa dos estados (FAPs)	"Sim, alunos de iniciação científica;Sim, mestrandos;Sim, doutorandos"	5	Sim, como assistente/monitor de disciplina (estágio docência)	Parcialmente Satisfeito	"Seguro saúde;Seguro de vida;Afastamento remunerado por doença;Auxílio-transporte;Auxílio-alimentação"																					9/mai	9/mai	4/jan	Nenhuma	4/jan	Nenhuma	0-3	Não se aplica	Prefiro não responder	Não, concordo com a ordem de autoria de todas as minhas publicações	"Presencial;Telefone;E-mail;WhatsApp"	"No setor privado, como pesquisador;No setor privado, fora da pesquisa;No setor público, como professor de Ensino Superior;No setor público, como Pesquisador"	Satisfeito	Sim, tanto dentro quanto fora da academia, no Brasil ou no exterior.	"Escrita de artigos científicos;Gerenciamento de projetos;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Liderança e gerenciamento laboratorial;Conduta ética na pesquisa"	"Escrita de artigos científicos;Gerenciamento de projetos;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Comunicação e divulgação científica"	29-30	"Português;Inglês;Outras"	Solteiro(a)	Não	Não se aplica	Mulher cisgênera	Branco(a)	Sim
Li e concordo em participar da pesquisa	Química	Fiz doutorado direto	Química Inorgânica	2020	Química Inorgânica	São Paulo (SP)	Nenhum	Não	Sim, sem carteira assinada	Sim, no doutorado	Nenhum	Não	Santa Catarina (SC)	Funcionário público mas não pesquisador/professor																															9/mai	9/mai	4/jan	Nenhuma	Nenhuma	Nenhuma	0-3	Não se aplica	Sim	Não, concordo com a ordem de autoria de todas as minhas publicações	"Presencial;Telefone;E-mail;WhatsApp"	No setor público, em cargos técnicos e administrativos de nível superior	Nem satisfeito, nem insatisfeito	Prefiro não responder	"Escrita de artigos científicos;Gerenciamento de projetos;Colaboração e trabalho de equipe;Liderança e gerenciamento laboratorial;Conduta ética na pesquisa;Rede de contatos;Transferência de conhecimento, inovação e empreendedorismo;Comunicação e divulgação científica"	"Escrita de artigos científicos;Escrita de projetos;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Liderança e gerenciamento laboratorial;Conduta ética na pesquisa;Equidade e diversidade"	31-32	"Português;Inglês"	Solteiro(a)	Não	Santa Catarina (SC)	Mulher cisgênera	Branco(a)	Sim
Li e concordo em participar da pesquisa	Química	Físico-Química	Físico-Química	2021	"Físico-Química;Química Orgânica"	Paraná (PR)	Sim, dois pós doutorados	Não	Não	Sim, no doutorado e pós-doutorado	Acima de 24 meses	Já fui associado (estou inativo)	Fora do Brasil	Pós-doutorando no exterior	24-36 meses	Sim, mudei de instituição e de estado onde me titulei como doutor	Escolha própria, pois quero ter experiência no exterior	Universidades estrangeiras	Financiamento do exterior/estrangeiro	Não	Nenhum	Não	Satisfeito	"Recolhimento de impostos (Ex. imposto de renda);Jornada de trabalho monitorada (40-44 horas semanais);Flexibilidade no contrato de trabalho (trabalhar fora do projeto de pesquisa/ensino);Seguro saúde;Seguro de vida;Afastamento remunerado por doença;Previdência social;Auxílio-transporte;Auxílio-alimentação;Outros"																					15-19	14/out	9/mai	Nenhuma	4/jan	2/jan	11/ago	Parcialmente	Sim	Não, concordo com a ordem de autoria de todas as minhas publicações	"Presencial;Telefone;E-mail"	"No setor privado, como pesquisador;No setor público, como professor de Ensino Superior;No setor público, como professor de Ensino Superior e Pesquisador;No setor público, como Pesquisador;No setor público, em cargos técnicos e administrativos de nível superior"	Sem plano de carreira	Sim, em ambos (academia e fora dela) no exterior	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Ensino/Lecionar;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Liderança e gerenciamento laboratorial;Conduta ética na pesquisa;Equidade e diversidade;Gerenciamento de carreira;Rede de contatos;Produtividade pessoal;Comunicação e divulgação científica"	"Escrita de artigos científicos;Gerenciamento de projetos;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Rede de contatos"	31-32	"Português;Inglês;Francês"	Coabito(a)	Não	Paraná (PR)	Homem cisgênero	Branco(a)	Sim
Li e concordo em participar da pesquisa	Química Tecnológica	Química Inorgânica	Química Inorgânica	2021	Eletroquímica e Eletroanalítica	Santa Catarina (SC)	Sim, um pós-doutorado	Não	Não	Não	Nenhum	Já fui associado (estou inativo)	Santa Catarina (SC)	Pós-doutorando (Setor Público)	12-24 meses	Não, realizo meu pós-doutorado na mesma instituição onde me titulei como doutor	Não se aplica	Universidade federal	CNPq	"Sim, alunos de iniciação científica;Sim, mestrandos;Sim, doutorandos"	4	Sim, em outra função	Satisfeito	"Recolhimento de impostos (Ex. imposto de renda);Flexibilidade no contrato de trabalho (trabalhar fora do projeto de pesquisa/ensino);Previdência social;Auxílio-alimentação"																					20-24	20-24	9/mai	4/jan	4/jan	2/jan	15/dez	Sim	Não	Sim, em algumas das minhas publicações	"Presencial;WhatsApp;Instagram"	No setor público, como professor de Ensino Superior e Pesquisador	Parcialmente satisfeito	Sim, tanto dentro quanto fora da academia, no Brasil ou no exterior.	"Liderança e gerenciamento laboratorial;Rede de contatos;Transferência de conhecimento, inovação e empreendedorismo;Comunicação e divulgação científica"	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Ensino/Lecionar;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Conduta ética na pesquisa;Equidade e diversidade;Gerenciamento de carreira;Produtividade pessoal;Outros"	31-32	"Português;Inglês;Espanhol"	Solteiro(a)	Não	Paraná (PR)	Homem cisgênero	Branco(a)	Sim
Li e concordo em participar da pesquisa	Química	Fiz doutorado direto	Físico-Química	2019	Físico-Química	São Paulo (SP)	Sim, um pós-doutorado	Sim, até 6 meses	Sim, sem carteira assinada	Sim, no doutorado	De 6 a 12 meses	Já fui associado (estou inativo)	São Paulo (SP)	Professor Universitário (Setor Público)											24-36 meses	Universidade estadual	Fundações de amparo à pesquisa dos estados (FAPs)	Parcialmente Satisfeito	Sim, aluno de iniciação científica	3/jan	Nenhum	Não se aplica	Nenhum												15-19	15-19	9/mai	4/jan	4/jan	2/jan	11/ago	Parcialmente	Sim	Sim, em algumas das minhas publicações	"E-mail;WhatsApp"	No setor público, como professor de Ensino Superior e Pesquisador	Insatisfeito	Sim, na academia no exterior	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Ensino/Lecionar;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Liderança e gerenciamento laboratorial;Conduta ética na pesquisa;Equidade e diversidade;Gerenciamento de carreira;Rede de contatos;Produtividade pessoal;Comunicação e divulgação científica"	"Escrita de artigos científicos;Escrita de projetos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Conduta ética na pesquisa;Gerenciamento de carreira;Produtividade pessoal"	31-32	"Português;Inglês;Espanhol;Italiano"	Casado(a)	Não	Paraná (PR)	Homem cisgênero	Branco(a)	Sim
Li e concordo em participar da pesquisa	Química	Química Analítica	Química Analítica	2021	"Química Ambiental;Química Analítica"	Rio Grande do Sul (RS)	Nenhum	Não	Não	Sim, no doutorado	Até 6 meses	Sim, sou associado	Rio Grande do Sul (RS)	Pós-doutorando (Setor Público)	0-12 meses	Não, realizo meu pós-doutorado na mesma instituição onde me titulei como doutor	Não se aplica	Universidade federal	CNPq	Não	Nenhum	"Sim, como responsável de disciplina;Sim, como professor substituto"	Parcialmente Satisfeito	"Recolhimento de impostos (Ex. imposto de renda);Jornada de trabalho monitorada (40-44 horas semanais);Afastamento remunerado por doença;Previdência social;Auxílio-transporte;Auxílio-alimentação"																					20-24	20-24	9/mai	Nenhuma	9/mai	2/jan	11/ago	Parcialmente	Sim	Sim, em algumas das minhas publicações	"Presencial;Telefone;E-mail;Seminários"	No setor público, como professor de Ensino Superior e Pesquisador	Parcialmente insatisfeito	Sim, na academia	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Ensino/Lecionar;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Liderança e gerenciamento laboratorial;Conduta ética na pesquisa;Equidade e diversidade;Gerenciamento de carreira;Rede de contatos;Produtividade pessoal;Transferência de conhecimento, inovação e empreendedorismo;Comunicação e divulgação científica"	"Escrita de artigos científicos;Ensino/Lecionar;Colaboração e trabalho de equipe;Liderança e gerenciamento laboratorial;Conduta ética na pesquisa"	31-32	"Português;Inglês;Alemão"	Solteiro(a)	Não	Santa Catarina (SC)	Mulher cisgênera	Branco(a)	Sim
Li e concordo em participar da pesquisa	Química	Química Analítica	Química Analítica	2020	Química Analítica	Santa Catarina (SC)	Nenhum	Sim, até 6 meses	Sim, sem carteira assinada	Não	De 18 a 24 meses	Já fui associado (estou inativo)	Rio Grande do Sul (RS)	Funcionário público mas não pesquisador/professor																															9/mai	9/mai	4/jan	Nenhuma	4/jan	Nenhuma	7/abr	Sim	Não	Não, concordo com a ordem de autoria de todas as minhas publicações	Não se aplica	Empreendedor	Completamente Satisfeito	Não	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Ensino/Lecionar;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Liderança e gerenciamento laboratorial;Conduta ética na pesquisa;Equidade e diversidade;Produtividade pessoal;Transferência de conhecimento, inovação e empreendedorismo;Comunicação e divulgação científica"	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Ensino/Lecionar;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Liderança e gerenciamento laboratorial;Conduta ética na pesquisa;Equidade e diversidade;Produtividade pessoal;Transferência de conhecimento, inovação e empreendedorismo;Comunicação e divulgação científica"	31-32	"Português;Inglês;Espanhol;Alemão"	Solteiro(a)	Não	Santa Catarina (SC)	Homem cisgênero	Branco(a)	Sim
Li e concordo em participar da pesquisa	Química	Físico-Química	Química Orgânica	2023	Química Ambiental	Minas Gerais (MG)	Nenhum	Não	Prefiro não responder	Não	Nenhum	Não	Minas Gerais (MG)	Professor de Ensino Básico e/ou Técnico/Tecnológico (setor Público)																				Escola (Ensino Fundamental e/ou Médio) pública	Professor concursado	Durante a pós-graduação	Não pude contar com nenhum tipo de licença	Não fiz pós-doutorado	Universidade federal	Fundações públicas universitárias	Parcialmente satisfeito	Sim	Sim, de Ensino Superior	3	14/out	9/mai	4/jan	Nenhuma	Nenhuma	2/jan	7/abr	Sim	Prefiro não responder	Sim, em algumas das minhas publicações	"E-mail;WhatsApp;Instagram"	"No setor público, como professor da rede de Ensino Fundamental e Médio;No setor público, em cargos técnicos e administrativos de nível superior"	Parcialmente satisfeito	Sim, em ambos (academia e fora dela)	"Escrita de artigos científicos;Escrita de projetos;Gerenciamento de projetos;Ensino/Lecionar;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Pesquisa interdisciplinar;Liderança e gerenciamento laboratorial;Conduta ética na pesquisa;Equidade e diversidade;Gerenciamento de carreira;Rede de contatos;Produtividade pessoal;Transferência de conhecimento, inovação e empreendedorismo;Comunicação e divulgação científica"	"Escrita de projetos;Ensino/Lecionar;Orientação de alunos/pós-graduandos;Colaboração e trabalho de equipe;Conduta ética na pesquisa;Transferência de conhecimento, inovação e empreendedorismo"	31-32	"Português;Espanhol"	Casado(a)	Não	Minas Gerais (MG)	Mulher cisgênera	Pardo(a)	Sim
